run,device,device_name,sm,sm_count,cell,axis,points,voxel_m,pool_blocks,blocks,load_factor,batch,scratch_slots,arm,stage,p50_ms,p95_ms,p99_ms,min_ms,mean_ms,n,gpu_state
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A5-triton,update,0.099624,0.100428,0.100560,0.099072,0.099711,30,"2797, 13801, 38, 62.98"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-80k,points,80000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,allocate,0.019052,0.019348,0.019780,0.018532,0.019016,30,"2797, 13801, 39, 62.65"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-80k,points,80000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,update,0.131228,0.132224,0.132972,0.129132,0.131207,30,"2797, 13801, 39, 62.65"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-80k,points,80000,0.010000,16384,1160,0.035400,8,65536,A4-rust,allocate,0.025152,0.025548,0.025552,0.024640,0.025121,30,"2797, 13801, 39, 62.65"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-80k,points,80000,0.010000,16384,1160,0.035400,8,65536,A4-rust,update,0.141464,0.142360,0.142476,0.140056,0.141335,30,"2797, 13801, 39, 62.65"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-80k,points,80000,0.010000,16384,1160,0.035400,8,65536,A5-triton,allocate,0.309692,0.316520,0.316652,0.299092,0.309126,30,"2797, 13801, 39, 62.65"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-80k,points,80000,0.010000,16384,1160,0.035400,8,65536,A5-triton,update,0.190364,0.191664,0.192032,0.188932,0.190334,30,"2797, 13801, 39, 62.65"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-720k,points,720000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,allocate,0.101912,0.102824,0.103152,0.100856,0.101895,30,"2797, 13801, 43, 81.81"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-720k,points,720000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,update,0.960884,0.967260,0.968556,0.956400,0.961070,30,"2797, 13801, 43, 81.81"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-720k,points,720000,0.010000,16384,1160,0.035400,8,65536,A4-rust,allocate,0.115700,0.116488,0.116524,0.113984,0.115575,30,"2797, 13801, 43, 81.81"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-720k,points,720000,0.010000,16384,1160,0.035400,8,65536,A4-rust,update,0.979228,0.985432,0.985680,0.972160,0.979675,30,"2797, 13801, 43, 81.81"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-720k,points,720000,0.010000,16384,1160,0.035400,8,65536,A5-triton,allocate,2.142268,2.144820,2.145264,2.140548,2.142564,30,"2797, 13801, 43, 81.81"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-720k,points,720000,0.010000,16384,1160,0.035400,8,65536,A5-triton,update,1.141036,1.144288,1.144852,1.135932,1.140879,30,"2797, 13801, 43, 81.81"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-1280k,points,1280000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,allocate,0.167664,0.169088,0.169764,0.166544,0.167621,30,"2782, 13801, 45, 86.02"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-1280k,points,1280000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,update,1.538132,1.544288,1.547372,1.529088,1.537876,30,"2782, 13801, 45, 86.02"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-1280k,points,1280000,0.010000,16384,1160,0.035400,8,65536,A4-rust,allocate,0.185796,0.188000,0.188348,0.183876,0.186047,30,"2782, 13801, 45, 86.02"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-1280k,points,1280000,0.010000,16384,1160,0.035400,8,65536,A4-rust,update,1.542840,1.549728,1.551012,1.535368,1.542670,30,"2782, 13801, 45, 86.02"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-1280k,points,1280000,0.010000,16384,1160,0.035400,8,65536,A5-triton,allocate,3.837048,3.842324,3.844772,3.829648,3.837044,30,"2782, 13801, 45, 86.02"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-1280k,points,1280000,0.010000,16384,1160,0.035400,8,65536,A5-triton,update,1.849036,1.854128,1.855164,1.844372,1.848783,30,"2782, 13801, 45, 86.02"
1,1,"NVIDIA GeForce RTX 5060",120,30,r-0.25,extent,320000,0.010000,16384,280,0.008545,8,65536,A3-cuda,allocate,0.044696,0.044948,0.044964,0.043540,0.044415,30,"2797, 13801, 43, 75.16"
1,1,"NVIDIA GeForce RTX 5060",120,30,r-0.25,extent,320000,0.010000,16384,280,0.008545,8,65536,A3-cuda,update,0.411888,0.415464,0.415560,0.407648,0.412025,30,"2797, 13801, 43, 75.16"
1,1,"NVIDIA GeForce RTX 5060",120,30,r-0.25,extent,320000,0.010000,16384,280,0.008545,8,65536,A4-rust,allocate,0.057500,0.058148,0.058632,0.056112,0.057447,30,"2797, 13801, 43, 75.16"
